ANO4,TRIMESTRE,CH04,total,ocupados,tasa_empleo
2016,2,1,485651,297618,0.6128227883809567
2016,2,2,560993,219816,0.39183376619672616
2016,3,1,484215,296694,0.6127319475852668
2016,3,2,557312,228284,0.4096161575562701
2016,4,1,481268,290522,0.6036594994888503
2016,4,2,557534,217772,0.3905986002647372
2017,1,1,483308,288313,0.5965409221448849
2017,1,2,568673,207055,0.3641020410675379
2017,2,1,492592,300370,0.6097744177737356
2017,2,2,569407,216254,0.3797880953342688
2017,3,1,504115,301877,0.5988256647788699
2017,3,2,562154,232257,0.4131554698534565
2017,4,1,501706,300429,0.5988148437531143
2017,4,2,556452,230012,0.4133546109996909
2018,1,1,504196,309325,0.6135014954501821
2018,1,2,563383,229632,0.4075948333549291
2018,2,1,500611,307280,0.613809924272539
2018,2,2,564697,237622,0.4207955770970981
2018,3,1,498109,304963,0.6122414973429511
2018,3,2,560391,227257,0.4055329225487204
2018,4,1,486638,308811,0.6345805300860188
2018,4,2,561498,225582,0.4017503178996185
2019,1,1,495886,300032,0.6050422879452132
2019,1,2,583471,225276,0.3860963098423058
2019,2,1,498653,296893,0.5953899806077573
2019,2,2,576252,235488,0.40865454696903436
2019,3,1,363680,226787,0.6235894192696876
2019,3,2,392699,161351,0.41087703304566603
2019,4,1,503702,320833,0.6369500220368393
2019,4,2,568351,235952,0.4151519043689551
2020,1,1,502373,318311,0.6336148638561387
2020,1,2,581559,246650,0.4241186190910982
2020,2,1,505323,288503,0.5709279015599923
2020,2,2,577710,199858,0.3459486593619636
2020,3,1,510671,299499,0.5864813157590699
2020,3,2,584828,224081,0.38315709918129776
2020,4,1,515071,322897,0.6268980392994364
2020,4,2,588797,224471,0.3812366571161198
2021,1,1,519545,322066,0.6199001048994793
2021,1,2,582654,234761,0.4029166537945333
2021,2,1,521803,320774,0.6147415787184052
2021,2,2,584512,249703,0.42719909941968687
2021,3,1,523584,319233,0.6097073248991566
2021,3,2,586378,243640,0.4154998993823097
2021,4,1,525279,333678,0.6352395584061041
2021,4,2,588142,245881,0.41806400495118523
2022,1,1,526841,342651,0.650387877936607
2022,1,2,590002,252781,0.4284409205392524
2022,2,1,528680,355470,0.6723727018234092
2022,2,2,591810,268864,0.45430797046349336
2022,3,1,530415,346265,0.6528190190699735
2022,3,2,593651,263693,0.4441885889184049
2022,4,1,532093,338104,0.6354227550447008
2022,4,2,595401,263052,0.44180644641174605
2023,1,1,533700,346206,0.648690275435638
2023,1,2,597168,278099,0.46569642043779974
2023,2,1,535353,346101,0.6464911936610049
2023,2,2,598902,271473,0.4532845106544977
2023,3,1,537031,348460,0.6488638458487499
2023,3,2,600677,260569,0.43379220446263134
2023,4,1,538650,361185,0.6705374547479811
2023,4,2,602405,260536,0.4324930901967945
2024,1,1,539965,352380,0.6525978535645829
2024,1,2,604587,275907,0.45635615717837136
2024,2,1,541859,339544,0.6266279604103651
2024,2,2,605856,262780,0.43373342840542967
2024,3,1,543523,350477,0.6448245980390894
2024,3,2,607596,264106,0.4346736976543624
2024,4,1,545096,358679,0.6580106990328309
2024,4,2,609308,260950,0.4282727290631339
